SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
PEACEVENTURE L,GREECE,38500,169,32.2,17.45,11.7,5.75,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,0.670487106,0.183185505
PROSPERVENTURE L,GREECE,38500,169,32.2,17.45,11.7,5.75,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,0.670487106,0.183185505
PRIDEVENTURE L,GREECE,38500,169,32.2,17.45,11.7,5.75,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,0.670487106,0.183185505
POWERVENTURE L,GREECE,38500,169,32.2,17.45,11.7,5.75,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,0.670487106,0.183185505
PRIMAVENTURE L,GREECE,38500,169,32.2,17.45,11.7,5.75,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,0.670487106,0.183185505
FRATERNITY L,GREECE,38500,169,32.2,17.45,11.7,5.75,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,0.670487106,0.183185505
NEPTUNE ANTLIA,SINGAPORE,39600,164,32.2,16.6,11.7,4.9,7.4588,5.093167702,9.879518072,1.939759036,2.752136752,14.01709402,0.704819277,0.185957001
FERITILITY L,GREECE,38500,169,32.2,17.45,11.26,6.19,7.4588,5.248447205,9.684813754,1.845272206,2.859680284,15.00888099,0.645272206,0.183185505
NEPTUNE AQUARIUS,SINGAPORE,39600,164,32.2,16.6,11.7,4.9,7.4588,5.093167702,9.879518072,1.939759036,2.752136752,14.01709402,0.704819277,0.185957001
PERSEVERANCE,BELGIUM,36750,185.9,27.43,17,12.14,4.86,7.2016,6.777251185,10.93529412,1.613529412,2.259472817,15.31301483,0.714117647,0.168637749
ENDURANCE,BELGIUM,36750,185.9,27.43,17,12.14,4.86,7.2016,6.777251185,10.93529412,1.613529412,2.259472817,15.31301483,0.714117647,0.168637749
ETERNITY,BELGIUM,36750,185.9,27.43,17,12.14,4.86,7.2016,6.777251185,10.93529412,1.613529412,2.259472817,15.31301483,0.714117647,0.168637749
TURMOIL,BELGIUM,36750,185.9,27.43,17,12.14,4.86,7.2016,6.777251185,10.93529412,1.613529412,2.259472817,15.31301483,0.714117647,0.168637749
URANUS,U.S.A.,39720,177,27.43,17,12.2,4.8,7.2016,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,0.717647059,0.172825515
TORM HERDIS,DENMARK,39600,177,27.43,17,12.2,4.8,7.66456,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,0.717647059,0.183935726
NEPTUNE,U.S.A.,39720,177,27.43,17,12.2,4.8,7.2016,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,0.717647059,0.172825515
TORM HELENE,DENMARK,39600,177,27.43,17,12.2,4.8,7.51024,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,0.717647059,0.180232322
DELPHINA,U.S.A.,39470,177,27.43,17,12.2,4.8,7.716,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,0.717647059,0.185170194
