HULL NO.,SHIP'S NAME,COMPANY,COUNTRY,DWT DATE,CLASS,DIMENSIONS (LBP×B×D×d),LBP,B,D,d,MAIN ENGINE,SPEED (KT),DELIVERY
,PHOENIX HOPE,PHOENIX ENERGY NAVIGATION S. A.,GREECE,105000,ABS,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.4,08.11. 20
,LIBYAN GALAXY,EMIRATES TRADING AGENCY,U.A.E.,105000,ABS,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,08.11. 28
,SEA LEGEND,ARAB MARITIME PETROLEUM TRANSPORT CO.,KUWAIT,112000,ABS,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC,15,08. 12. 04
,PRO TRIUMPH,"SK SHIPPING CO., LTD.",KOREA,105000,ABS,234.00/42.00/21.20/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15,09. 01. 09
,ZALIV BAIKAL,PRISCO,RUSSIA,104000,DNV,234.00/42.00/22.00/13.50M,,,,,HYUNDAI-B&W 7S60MC-C,15.5,09. 01. 16
,ZALIV VOSTOK,PRISCO,RUSSIA,104000,DNV,234.00/42.00/22.00/13.50M,,,,,HYUNDAI-B&W 7S60MC-C,15.5,09. 01. 22
,OHIO,DORIAN (HELLAS) S. A.,GREECE,105000,LR,234.00/42.00/21.00/15.00M,,,,,HYUNDAI-B&W 7S60MC-C,15.3,09. 01. 30
,ALPINE ALASKA,CONTI,GERMANY,105000,LR,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,09. 02. 13
,CHRYSAN THEMUM,DORIAN (HELLAS) S. A.,GREECE,105000,LR,234.00/42.00/21.00/15.00M,,,,,HYUNDAI-B&W 7S60MC-C,15.3,09. 03. 05
,ALPINE ATHELIA,CONTI,GERMANY,105000,LR,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,09. 03. 31
,ASPASIA LEMOS,DORIAN (HELLAS) S. A.,GREECE,105000,LR,234.00/42.00/21.00/15.00M,,,,,HYUNDAI-B&W 7S60MC-C,15.3,09. 04. 17
,NS ARCTIC,NOVOSHIP,RUSSIA,112000,DNV,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C,15,09. 05. 04
,NS ANTARCTIC,NOVOSHIP,RUSSIA,112000,DNV,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C,15,09. 06. 08
,NS ASIA,NOVOSHIP,RUSSIA,112000,DNV,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C,15,09. 07. 21
,NS AFRICA,NOVOSHIP,RUSSIA,112000,DNV,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C,15,09. 09. 21
,RATNA SHALINI,INDIA STEAMSHIP,INDIA,105000,ABS,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.4,10. 03. 09
